#{"t_start": 1745835308.462683, "env_id": "None"}
r,l,t
143458.648629,52,17.414054
142722.497925,52,17.430223
142256.594807,52,17.44546
142182.212133,52,17.462907
142723.37446,52,17.478424
142284.676639,52,17.494983
142491.443845,52,17.511535
142203.278597,52,17.528811
142848.36731,52,17.544982
142081.039541,52,17.561158
142733.105778,52,17.577682
142403.843627,52,17.594146
142285.599199,52,17.610913
142696.996209,52,17.628948
141552.486916,52,17.645009
142900.683921,52,17.661584
142036.196744,52,17.678237
142463.32701,52,17.695305
142598.361124,52,17.712848
143106.899819,52,17.729178
142491.472855,52,17.745589
142074.933526,52,17.760801
142102.517095,52,17.776103
142598.259409,52,17.793012
142577.64629,52,17.808382
142444.531877,52,17.824211
143203.492721,52,17.839876
142788.566001,52,17.855793
141907.776123,52,17.872083
143039.516625,52,17.887671
142809.495276,52,17.90391
142344.520287,52,17.919455
142283.714257,52,17.93569
142548.780982,52,17.951047
142131.245773,52,17.965719
142410.400704,52,17.981047
142845.544349,52,17.996094
142935.304655,52,18.011546
142573.3138,52,18.027627
143078.053903,52,18.042976
141871.382352,52,18.059296
142361.061953,52,18.074696
142237.62503,52,18.09057
143268.169262,52,18.106213
142151.737441,52,18.12135
142781.428694,52,18.137485
142802.768866,52,18.153037
142106.266803,52,18.169295
142580.185335,52,18.187504
143090.554887,52,18.20536
142552.891115,52,18.224074
142510.419901,52,18.241522
141367.015405,52,18.257592
142535.631988,52,18.274554
141837.045935,52,18.290229
142248.485546,52,18.307226
142492.294108,52,18.323302
143042.312722,52,18.339294
143032.357403,52,18.356598
142095.290579,52,18.373376
142937.59849,52,18.390375
142217.684146,52,18.40695
142561.883074,52,18.422251
142484.415802,52,18.440362
141505.474018,52,18.456305
141997.688625,52,18.472978
142518.180511,52,18.490263
143010.815546,52,18.506064
142905.846708,52,18.523292
143069.317951,52,18.540964
142481.284296,52,18.557367
142536.860979,52,18.5736
142694.994667,52,18.588528
142859.360464,52,18.604124
142408.853637,52,18.618911
141341.968901,52,18.634197
142118.337835,52,18.648827
141735.717187,52,18.663436
142269.942407,52,18.678623
142601.088691,52,18.693186
142066.554916,52,18.70921
141983.172812,52,18.723861
142617.078151,52,18.752959
142832.013169,52,18.802705
143124.07199,52,18.880721
142888.284814,52,18.921218
142629.724912,52,18.93919
141478.52123,52,18.95592
142436.562682,52,18.97339
143535.979417,52,18.989682
142960.601377,52,19.008075
142007.557512,52,19.024744
143479.613538,52,19.043002
142136.331618,52,19.060266
142005.161661,52,19.076675
142797.213802,52,19.093514
143157.842046,52,19.109824
142943.913242,52,19.125177
142372.117899,52,19.141314
141586.667044,52,19.158047
142321.204926,52,19.174125
141949.410353,52,19.189709
142412.818408,52,19.206766
142725.852736,52,19.224242
143132.367632,52,19.240688
141710.43664,52,19.258094
141582.472668,52,19.27359
141829.959472,52,19.289341
142384.367568,52,19.305935
142060.624781,52,19.32175
141919.432428,52,19.337002
142393.017832,52,19.351803
143520.179948,52,19.366718
142962.968786,52,19.382066
142622.051517,52,19.39673
142630.133982,52,19.412211
142299.85269,52,19.426932
142568.677392,52,19.441791
142342.752112,52,19.457242
142233.810427,52,19.472535
142952.527598,52,19.487776
142274.108497,52,19.502411
142963.851635,52,19.517017
142291.749218,52,19.53274
143029.591077,52,19.548634
142048.278762,52,19.565441
143038.026561,52,19.58122
141729.381011,52,19.597969
142094.426003,52,19.615741
141831.007653,52,19.631106
142317.965543,52,19.647016
143813.652039,52,19.661848
142340.115922,52,19.676536
142916.306781,52,19.691781
143071.859707,52,19.706423
142062.589425,52,19.722245
142239.317512,52,19.737091
141513.858198,52,19.751746
142879.174848,52,19.767796
142708.201178,52,19.78235
142860.121564,52,19.797515
142948.34273,52,19.812041
142234.087862,52,19.827271
141933.596687,52,19.843401
142367.937048,52,19.858884
142932.069068,52,19.875156
141964.956797,52,19.890297
143172.436171,52,19.905576
142298.942256,52,19.922666
142433.455179,52,19.937934
142842.419346,52,19.953595
142538.411404,52,19.96942
142869.417954,52,19.984822
142585.957351,52,20.000655
142849.817688,52,20.016057
